candidate_id,source_type,source_contract_ids,governance_tier,operational_role,deployment_disposition,current_evidence_source,ontology_fidelity,implementation_fidelity,evidence_strength,regime_clarity,invalidation_clarity,confounder_handling,holdout_quality,deployment_suitability,total_score,testing_decision,lifecycle_class,evidence_gap_summary,recommended_next_action
THESIS_VOL_SHOCK,event,VOL_SHOCK,A,trigger,primary_trigger_candidate,event_contract_fallback:VOL_SHOCK,5,5,1,4,4,0,0,5,24,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_LIQUIDITY_VACUUM,event,LIQUIDITY_VACUUM,A,trigger,primary_trigger_candidate,event_contract_fallback:LIQUIDITY_VACUUM,5,5,1,4,4,0,0,5,24,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_LIQUIDITY_STRESS_DIRECT,event,LIQUIDITY_STRESS_DIRECT,B,trigger,secondary_or_confirm,event_contract_fallback:LIQUIDITY_STRESS_DIRECT,4,5,1,4,4,0,0,4,22,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_BASIS_DISLOC,event,BASIS_DISLOC,A,trigger,primary_trigger_candidate,event_contract_fallback:BASIS_DISLOC,5,5,1,4,4,0,0,5,24,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_FND_DISLOC,event,FND_DISLOC,A,trigger,primary_trigger_candidate,event_contract_fallback:FND_DISLOC,5,5,1,4,4,0,0,5,24,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_LIQUIDATION_CASCADE,event,LIQUIDATION_CASCADE,A,trigger,primary_trigger_candidate,event_contract_fallback:LIQUIDATION_CASCADE,5,5,1,4,4,0,0,5,24,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_VOL_SHOCK_LIQUIDITY_CONFIRM,event_plus_confirm,VOL_SHOCK|LIQUIDITY_VACUUM,A,confirm,seed_review_required,event_contract_fallback:paired_confirmation,5,5,1,4,4,0,0,4,23,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_LIQUIDITY_VACUUM_CASCADE_CONFIRM,event_plus_confirm,LIQUIDITY_VACUUM|LIQUIDATION_CASCADE,A,confirm,seed_review_required,event_contract_fallback:paired_confirmation,5,5,1,4,4,0,0,4,23,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_BASIS_FND_CONFIRM,event_plus_confirm,BASIS_DISLOC|FND_DISLOC,A,confirm,seed_review_required,event_contract_fallback:paired_confirmation,5,5,1,4,4,0,0,4,23,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_LIQUIDATION_DEPTH_CONFIRM,event_plus_confirm,LIQUIDATION_CASCADE|LIQUIDITY_STRESS_DIRECT,A/B,confirm,seed_review_required,event_contract_fallback:paired_confirmation,3,5,1,4,4,0,0,3,20,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_EP_VOLATILITY_BREAKOUT,episode,EP_VOLATILITY_BREAKOUT,B,trigger,secondary_trigger_candidate,episode_contract_fallback:EP_VOLATILITY_BREAKOUT,4,5,1,4,3,0,0,4,21,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_EP_LIQUIDITY_SHOCK,episode,EP_LIQUIDITY_SHOCK,B,trigger,secondary_trigger_candidate,episode_contract_fallback:EP_LIQUIDITY_SHOCK,4,5,1,4,3,0,0,4,21,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_EP_DISLOCATION_REPAIR,episode,EP_DISLOCATION_REPAIR,C,context,context_only,episode_contract_fallback:EP_DISLOCATION_REPAIR,3,2,1,4,3,0,0,1,14,needs_repair,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing|governance_role_or_disposition_blocked,repair_governance_or_role_conflict
